time,q_cmd,q_meas,theta_cmd,theta_meas
1.365,0,0.000767178,-0.00140466,0.000767178
1.37,0,0.000767178,-0.00140632,0.000767178
1.375,0,0.000767178,-0.0014085,0.000767178
1.38,0,0.000767178,-0.00141115,0.000767178
1.385,0,0.000767178,-0.00141424,0.000767178
1.39,0,0.000767178,-0.00141772,0.000767178
1.395,0,0.000767178,-0.00142156,0.000767178
1.4,0,0.000767178,-0.00142573,0.000767178
1.405,0,0.000767178,-0.00143021,0.000767178
1.41,0,0.000767178,-0.00143495,0.000767178
1.415,0,0.000767178,-0.00143995,0.000767178
1.42,0,0.000767178,-0.00144518,0.000767178
1.425,0,0.000767178,-0.00145062,0.000767178
1.43,0,0.000767178,-0.00145626,0.000767178
1.435,0,0.000767178,-0.00146207,0.000767178
1.44,0,0.000767178,-0.00146803,0.000767178
1.445,0,0.000767178,-0.00147415,0.000767178
1.45,0,0.000767178,-0.0014804,0.000767178
1.455,0,0.000767178,-0.00148677,0.000767178
1.46,0,0.000767178,-0.00149326,0.000767178
1.465,0,0.000767178,-0.00149984,0.000767178
1.47,0,0.000767178,-0.00150652,0.000767178
1.475,0,-0.000767178,-0.000759443,-0.000767178
1.48,0,-0.000767178,-0.000786797,-0.000767178
1.485,0,-0.000767178,-0.000811135,-0.000767178
1.49,0,-0.000767178,-0.000832716,-0.000767178
1.495,0,-0.000767178,-0.000851777,-0.000767178
1.5,0,-0.000767178,-0.000868536,-0.000767178
1.505,0,0.000767178,-0.00163703,0.000767178
1.51,0,0.000767178,-0.00162925,0.000767178
1.515,0,0.000767178,-0.00162281,0.000767178
1.52,0,0.000767178,-0.00161757,0.000767178
1.525,0,0.000767178,-0.00161345,0.000767178
1.53,0,0.000767178,-0.00161035,0.000767178
1.535,0,0.000767178,-0.00160817,0.000767178
1.54,0,-0.000767178,-0.000852996,-0.000767178
1.545,0,-0.000767178,-0.000872954,-0.000767178
1.55,0,-0.000767178,-0.000890532,-0.000767178
1.555,0,-0.000767178,-0.000905935,-0.000767178
1.56,0,-0.000767178,-0.00091935,-0.000767178
1.565,0,-0.000767178,-0.00093095,-0.000767178
1.57,0,0.000767178,-0.00169473,0.000767178
1.575,0,0.000767178,-0.00168264,0.000767178
1.58,0,0.000767178,-0.00167226,0.000767178
1.585,0,0.000767178,-0.00166343,0.000767178
1.59,0,0.000767178,-0.00165602,0.000767178
1.595,0,0.000767178,-0.00164991,0.000767178
1.6,0,0.000767178,-0.00164498,0.000767178
1.605,0,-0.000767178,-0.000887299,-0.000767178
1.61,0,-0.000767178,-0.000904963,-0.000767178
1.615,0,-0.000767178,-0.000920445,-0.000767178
1.62,0,-0.000767178,-0.000933932,-0.000767178
1.625,0,-0.000767178,-0.000945597,-0.000767178
1.63,0,-0.000767178,-0.000955597,-0.000767178
1.635,0,-0.000767178,-0.000964074,-0.000767178
1.64,0,-0.000767178,-0.000971161,-0.000767178
1.645,0,-0.000767178,-0.000976976,-0.000767178
1.65,0,-0.000767178,-0.00098163,-0.000767178
1.655,0,-0.000767178,-0.000985222,-0.000767178
1.66,0,-0.000767178,-0.000987844,-0.000767178
1.665,0,-0.000767178,-0.000989579,-0.000767178
1.67,0,-0.000767178,-0.000990505,-0.000767178
1.675,0,-0.000767178,-0.000990689,-0.000767178
1.68,0,-0.000767178,-0.000990197,-0.000767178
1.685,0,-0.000767178,-0.000989087,-0.000767178
1.69,0,-0.000767178,-0.000987411,-0.000767178
1.695,0,-0.000767178,-0.000985219,-0.000767178
1.7,0,-0.000767178,-0.000982555,-0.000767178
1.705,0,-0.000767178,-0.00097946,-0.000767178
1.71,0,-0.000767178,-0.000975971,-0.000767178
1.715,0,-0.000767178,-0.000972121,-0.000767178
1.72,0,-0.000767178,-0.000967942,-0.000767178
1.725,0,-0.000767178,-0.000963462,-0.000767178
1.73,0,-0.000767178,-0.000958708,-0.000767178
1.735,0,-0.000767178,-0.000953702,-0.000767178
1.74,0,-0.000767178,-0.000948466,-0.000767178
1.745,0,-0.000767178,-0.000943021,-0.000767178
1.75,0,-0.000767178,-0.000937384,-0.000767178
1.755,0,-0.000767178,-0.000931571,-0.000767178
1.76,0,-0.000767178,-0.000925599,-0.000767178
1.765,0,-0.000767178,-0.00091948,-0.000767178
1.77,0,-0.000767178,-0.000913227,-0.000767178
1.775,0,-0.000767178,-0.000906852,-0.000767178
1.78,0,-0.000767178,-0.000900366,-0.000767178
1.785,0,-0.000767178,-0.000893777,-0.000767178
1.79,0,-0.000767178,-0.000887095,-0.000767178
1.795,0,0.000767178,-0.00163417,0.000767178
1.8,0,0.000767178,-0.00160682,0.000767178
1.805,0,0.000767178,-0.00158248,0.000767178
1.81,0,0.000767178,-0.00156089,0.000767178
1.815,0,0.000767178,-0.00154183,0.000767178
1.82,0,0.000767178,-0.00152507,0.000767178
1.825,0,-0.000767178,-0.000756572,-0.000767178
1.83,0,-0.000767178,-0.000764351,-0.000767178
1.835,0,-0.000767178,-0.000770799,-0.000767178
1.84,0,-0.000767178,-0.00077603,-0.000767178
1.845,0,-0.000767178,-0.000780151,-0.000767178
1.85,0,-0.000767178,-0.000783255,-0.000767178
1.855,0,-0.000767178,-0.000785432,-0.000767178
1.86,0,0.000767178,-0.0015406,0.000767178
1.865,0,0.000767178,-0.00152065,0.000767178
1.87,0,0.000767178,-0.00150307,0.000767178
1.875,0,0.000767178,-0.00148766,0.000767178
1.88,0,0.000767178,-0.00147425,0.000767178
1.885,0,0.000767178,-0.00146265,0.000767178
1.89,0,-0.000767178,-0.000698865,-0.000767178
1.895,0,-0.000767178,-0.000710953,-0.000767178
1.9,0,-0.000767178,-0.000721339,-0.000767178
1.905,0,-0.000767178,-0.00073017,-0.000767178
1.91,0,-0.000767178,-0.00073758,-0.000767178
1.915,0,-0.000767178,-0.00074369,-0.000767178
1.92,0,-0.000767178,-0.000748614,-0.000767178
1.925,0,-0.000767178,-0.000752453,-0.000767178
1.93,0,-0.000767178,-0.0007553,-0.000767178
1.935,0,-0.000767178,-0.000757241,-0.000767178
1.94,0,-0.000767178,-0.000758354,-0.000767178
1.945,0,-0.000767178,-0.000758711,-0.000767178
1.95,0,-0.000767178,-0.000758376,-0.000767178
1.955,0,-0.000767178,-0.00075741,-0.000767178
1.96,0,-0.000767178,-0.000755865,-0.000767178
1.965,0,-0.000767178,-0.000753793,-0.000767178
1.97,0,-0.000767178,-0.000751239,-0.000767178
1.975,0,-0.000767178,-0.000748244,-0.000767178
1.98,0,-0.000767178,-0.000744846,-0.000767178
1.985,0,0.000767178,-0.00149492,0.000767178
1.99,0,0.000767178,-0.00147031,0.000767178
1.995,0,0.000767178,-0.00144848,0.000767178
2,0,0.000767178,-0.00142919,0.000767178
2.005,0,0.000767178,-0.00141222,0.000767178
2.01,0,0.000767178,-0.00139737,0.000767178
2.015,0,0.000767178,-0.00138446,0.000767178
2.02,0,-0.000767178,-0.000619483,-0.000767178
2.025,0,-0.000767178,-0.000630479,-0.000767178
2.03,0,-0.000767178,-0.000639867,-0.000767178
2.035,0,-0.000767178,-0.000647786,-0.000767178
2.04,0,-0.000767178,-0.000654362,-0.000767178
2.045,0,-0.000767178,-0.000659711,-0.000767178
2.05,0,0.000767178,-0.00141778,0.000767178
2.055,0,0.000767178,-0.00140047,0.000767178
2.06,0,0.000767178,-0.00138532,0.000767178
2.065,0,0.000767178,-0.00137213,0.000767178
2.07,0,0.000767178,-0.00136073,0.000767178
2.075,0,0.000767178,-0.00135098,0.000767178
2.08,0,0.000767178,-0.00134273,0.000767178
2.085,0,-0.000767178,-0.000582005,-0.000767178
2.09,0,-0.000767178,-0.00059689,-0.000767178
2.095,0,-0.000767178,-0.000609832,-0.000767178
2.1,0,-0.000767178,-0.000620999,-0.000767178
2.105,0,-0.000767178,-0.000630543,-0.000767178
2.11,0,-0.000767178,-0.000638604,-0.000767178
2.115,0,-0.000767178,-0.00064531,-0.000767178
2.12,0,-0.000767178,-0.000650778,-0.000767178
2.125,0,-0.000767178,-0.000655114,-0.000767178
2.13,0,-0.000767178,-0.000658416,-0.000767178
2.135,0,-0.000767178,-0.000660773,-0.000767178
2.14,0,-0.000767178,-0.000662265,-0.000767178
2.145,0,-0.000767178,-0.000662969,-0.000767178
2.15,0,-0.000767178,-0.000662951,-0.000767178
2.155,0,-0.000767178,-0.000662274,-0.000767178
2.16,0,-0.000767178,-0.000660995,-0.000767178
2.165,0,-0.000767178,-0.000659165,-0.000767178
2.17,0,-0.000767178,-0.000656831,-0.000767178
2.175,0,-0.000767178,-0.000654038,-0.000767178
2.18,0,-0.000767178,-0.000650825,-0.000767178
2.185,0,-0.000767178,-0.000647228,-0.000767178
2.19,0,-0.000767178,-0.00064328,-0.000767178
2.195,0,-0.000767178,-0.000639011,-0.000767178
2.2,0,-0.000767178,-0.000634449,-0.000767178
2.205,0,-0.000767178,-0.000629619,-0.000767178
2.21,0,-0.000767178,-0.000624544,-0.000767178
2.215,0,-0.000767178,-0.000619246,-0.000767178
2.22,0,-0.000767178,-0.000613743,-0.000767178
2.225,0,-0.000767178,-0.000608054,-0.000767178
2.23,0,-0.000767178,-0.000602193,-0.000767178
2.235,0,-0.000767178,-0.000596177,-0.000767178
2.24,0,-0.000767178,-0.000590018,-0.000767178
2.245,0,-0.000767178,-0.000583729,-0.000767178
2.25,0,-0.000767178,-0.000577321,-0.000767178
